196,1088,Eri,44.2,-39.44,4.28
197,1101,Tau,51.95,-18.44,4.28
198,1106,,34.93,-57.09,4.58
199,1122,Per,64.8,27.3,3.01
200,1123,Per,61.13,13.91,4.97
201,1129,,70.49,42.16,4.79
202,1131,Per,61.14,12.18,3.83
203,1134,For,41.97,-49.8,5
204,1135,Per,63.82,22.15,3.8
205,1136,Eri,50.86,-28.68,3.54
206,1142,Tau,59.41,4.19,3.7
207,1143,,38.91,-54.84,4.59
208,1145,Tau,59.56,4.52,4.3
209,1148,Cam,74.65,49.62,4.66
210,1149,Tau,59.68,4.39,3.87
211,1155,,71.87,44.13,4.48
212,1156,Tau,59.7,3.96,4.18
213,1162,Eri,50.96,-31.12,4.42
214,1165,Tau,59.99,4.05,2.87
215,1173,Eri,47.36,-41.89,4.23
216,1175,Ret,351.39,-76.09,3.85
217,1178,Tau,60.36,3.92,3.62
218,1190,,40.56,-55.56,4.86
219,1195,,41.76,-54.31,4.17
220,1203,Per,63.12,11.33,2.85
221,1205,,71.31,39.65,5
222,1208,Hyi,310.47,-76.76,3.24
223,1212,Eri,55.63,-22.72,4.79
224,1213,Eri,48.87,-43.65,4.65
225,1220,Per,65.68,19.11,2.89
226,1228,Per,64.97,14.94,4.04
227,1231,Eri,53.87,-33.2,2.94
228,1239,Tau,60.63,-7.96,3.41
229,1240,Eri,50.97,-43.47,4.66
230,1247,Ret,7.06,-75.91,4.56
231,1251,Tau,59.92,-14.45,3.91
232,1256,Tau,63.46,1.26,4.37
233,1261,Per,69.75,28.89,4.29
234,1264,Ret,4.97,-76.54,4.51
235,1266,Ret,8.86,-75.98,4.97
236,1273,Per,69.5,26.24,4.03
237,1298,Eri,59.43,-27.45,4.05
238,1302,Hor,44.92,-61.23,4.93
239,1303,Per,70.79,26.71,4.16
240,1306,Per,69.15,18.93,4.71
241,1311,Tau,63.25,-11.75,4.84
242,1318,Eri,59.33,-30.93,4.86
243,1320,Tau,63.58,-12.18,4.28
244,1324,,71.81,28.45,4.61
245,1325,Eri,60.18,-28.42,4.43
246,1326,Hor,45.82,-61.73,3.86
